2016141460006	王海波	男	4444	22	13600231234	5636671234@qq.com	绵阳第二中学	四川 绵阳	看书	2016000001	3040000001
2016141462004	李泽洋	男	1348	20	13898093534	3689671234@qq.com	成都第二中学	四川 成都	打游戏	2016000002	3040000002
2016141540012	廖温峰	男	1111	22	18398761234	5636674534@qq.com	北京第二中学	北京	旅游	2016000006	3040000009
2016148730014	胡斯涵	男	0601	22	18398561234	39023767104@qq.com	成都第二附属中学	四川 成都	读书	2016000006	3040000011
2016161505100	陈梓菲	女	1520	20	13691471234	3466671256@qq.com	成都第二中学	四川 成都	读书	2016000002	3040000007
2016161803011	罗明瑞	男	1212	22	13639061234	3601671234@qq.com	成都第四中学	四川 成都	运动	2016000005	3040000008
2016167820013	刘道涛	男	1001	22	17692371234	346671004@qq.com	上海第二附属中学	上海	打篮球	2016000004	3040000010
2016171072005	钱浩军	男	3333	23	19078761234	3422451234@qq.com	陇南第一中学	甘肃 陇南	看书	2016000002	3040000002
2016171900108	李思婷	女	1369	23	13690251234	3501671234@qq.com	成都第二十中学	四川 成都	读书	2016000001	3040000005
2016171902009	孟雨灵	女	1314	22	13604672234	893471234@qq.com	成都阳明中学	四川 成都	运动	2016000004	3040000006
2016181962002	李明	男	1234	22	13698761234	3456671234@qq.com	成都第二中学	四川 成都	看书	2016000002	3040000003
2016181962003	徐梦玲	女	0306	22	18698763550	1255271234@qq.com	天水第一中学	甘肃 天水	看综艺	2016000003	3040000004
2016456790015	李清素	女	1415	22	13348768434	7346671614@qq.com	武汉第二中学	湖北 武汉	读书	2016000007	3040000012
